Variable: Global ocean heat content (10^22 J) from 1850-2300.,
Model: Simple Non-Linear Earth System Model (SNEASY) coupled to methane cycle model from MAGICC.,
"Model Parameterization: This represents the mean model response across 100,000 posterior parameter samples.",
Forcing and Emissions Scenario: RCP8.5,
,
Year,Mean_Ocean_Heat
1850,-27.16237203
1851,-26.86797929
1852,-26.63101312
1853,-26.36243208
1854,-26.1274347
1855,-25.87672132
1856,-26.04249389
1857,-26.4479457
1858,-26.88510383
1859,-27.00526759
1860,-26.84967945
1861,-26.54640501
1862,-26.42031134
1863,-26.2456007
1864,-26.13580506
1865,-25.93290643
1866,-25.65314586
1867,-25.44168484
1868,-25.30204514
1869,-25.04391919
1870,-24.78102592
1871,-24.58231583
1872,-24.28206902
1873,-24.06936737
1874,-24.0172246
1875,-23.89095528
1876,-23.79420252
1877,-23.68250065
1878,-23.59537785
1879,-23.47117999
1880,-23.32980607
1881,-23.1254307
1882,-22.99825711
1883,-23.23512333
1884,-24.28087746
1885,-25.4353787
1886,-26.14638708
1887,-26.57935196
1888,-26.75514464
1889,-26.95121263
1890,-27.12528822
1891,-27.32760923
1892,-27.35699796
1893,-27.20828557
1894,-26.97793416
1895,-26.63398016
1896,-26.33703043
1897,-26.20717055
1898,-26.1130007
1899,-25.84371075
1900,-25.5885847
1901,-25.27805237
1902,-25.19236227
1903,-25.44426571
1904,-25.82059173
1905,-25.88702619
1906,-25.70722503
1907,-25.43461383
1908,-25.19961404
1909,-24.89953271
1910,-24.55103069
1911,-24.28711837
1912,-24.0957062
1913,-24.05019373
1914,-23.95563941
1915,-23.73109673
1916,-23.35860049
1917,-22.89220973
1918,-22.44731014
1919,-22.00183702
1920,-21.61880879
1921,-21.34270339
1922,-21.06896583
1923,-20.72648583
1924,-20.37559807
1925,-20.02207237
1926,-19.61745728
1927,-19.22004734
1928,-18.80950482
1929,-18.48325916
1930,-18.1809237
1931,-17.90559549
1932,-17.55377155
1933,-17.25380723
1934,-16.96339408
1935,-16.57655475
1936,-16.15412112
1937,-15.76208552
1938,-15.3156374
1939,-14.87660069
1940,-14.41699498
1941,-13.96992302
1942,-13.54879955
1943,-13.21417527
1944,-12.80531247
1945,-12.37554567
1946,-11.92292833
1947,-11.46282801
1948,-11.0239246
1949,-10.57536139
1950,-10.11965647
1951,-9.700541476
1952,-9.382479532
1953,-9.035147711
1954,-8.743222411
1955,-8.375095312
1956,-7.994296338
1957,-7.529882353
1958,-7.001997078
1959,-6.47032353
1960,-5.948419727
1961,-5.579204085
1962,-5.36156482
1963,-5.356026625
1964,-5.742470957
1965,-6.125250846
1966,-6.205472218
1967,-6.012901829
1968,-5.766698429
1969,-5.595240888
1970,-5.288271024
1971,-4.747582868
1972,-4.134955733
1973,-3.514709389
1974,-2.923610891
1975,-2.476785963
1976,-2.001471872
1977,-1.421949389
1978,-0.721548191
1979,0.024691623
1980,0.902118196
1981,1.752368749
1982,2.258228302
1983,2.304042549
1984,2.419951506
1985,2.81221444
1986,3.461509051
1987,4.17590558
1988,5.024023467
1989,5.972059024
1990,6.992806284
1991,7.619470275
1992,7.580594918
1993,7.516127382
1994,7.971319311
1995,8.683678756
1996,9.656525032
1997,10.74983361
1998,11.93655959
1999,13.19221499
2000,14.44853169
2001,15.69539446
2002,16.95610707
2003,18.23527094
2004,19.46529133
2005,20.67258105
2006,21.76669787
2007,22.77152144
2008,23.77286589
2009,24.77890013
2010,25.94422772
2011,27.16929443
2012,28.41147404
2013,29.73482255
2014,31.02137002
2015,32.32868836
2016,33.54797325
2017,34.83777166
2018,36.10357504
2019,37.44352808
2020,38.81389798
2021,40.27940504
2022,41.82949865
2023,43.40886553
2024,45.00442529
2025,46.66886598
2026,48.29151763
2027,49.88095663
2028,51.51998723
2029,53.24025946
2030,54.89612261
2031,56.64779638
2032,58.46030847
2033,60.34125072
2034,62.28116424
2035,64.3084661
2036,66.36317641
2037,68.39334232
2038,70.44898705
2039,72.49541459
2040,74.57376024
2041,76.66530536
2042,78.83629719
2043,81.0571493
2044,83.38505071
2045,85.77089202
2046,88.1807203
2047,90.62936631
2048,93.05189213
2049,95.55191344
2050,98.02605138
2051,100.5270728
2052,103.0779941
2053,105.6241192
2054,108.3271954
2055,111.085035
2056,113.9046056
2057,116.7608286
2058,119.6388578
2059,122.4417427
2060,125.2925805
2061,128.1223091
2062,130.9999405
2063,133.9080095
2064,136.8657857
2065,139.8947264
2066,143.0126805
2067,146.1869482
2068,149.3592338
2069,152.5741508
2070,155.7732333
2071,158.9711566
2072,162.1390323
2073,165.3956021
2074,168.5906194
2075,171.8388443
2076,175.1875645
2077,178.6171562
2078,182.048765
2079,185.5467453
2080,189.0357452
2081,192.4674557
2082,195.9275525
2083,199.4272902
2084,202.8123956
2085,206.3395901
2086,209.8339977
2087,213.5079521
2088,217.1995343
2089,220.890341
2090,224.6155798
2091,228.3587486
2092,232.0913425
2093,235.8498936
2094,239.5941122
2095,243.3180909
2096,247.0443113
2097,250.763892
2098,254.6269171
2099,258.4593366
2100,262.3616653
2101,266.2947187
2102,270.2139665
2103,274.1923606
2104,278.1060017
2105,281.9424606
2106,285.8176264
2107,289.6497857
2108,293.5772108
2109,297.5217082
2110,301.4815308
2111,305.517809
2112,309.606612
2113,313.6350482
2114,317.6403122
2115,321.5951178
2116,325.5159943
2117,329.4532639
2118,333.3791416
2119,337.384052
2120,341.4013759
2121,345.4741551
2122,349.5667488
2123,353.6664167
2124,357.8030927
2125,361.8788283
2126,365.905715
2127,369.9266619
2128,373.97223
2129,377.9413657
2130,381.9537993
2131,386.0161828
2132,390.1513828
2133,394.2699609
2134,398.4443746
2135,402.6121247
2136,406.7624671
2137,410.8625187
2138,414.9875446
2139,418.9448696
2140,423.0080911
2141,427.0675238
2142,431.2520745
2143,435.4055356
2144,439.6372486
2145,443.8339995
2146,448.0374057
2147,452.1910859
2148,456.3018576
2149,460.4417797
2150,464.5103579
2151,468.5897849
2152,472.6578379
2153,476.8474129
2154,481.0402493
2155,485.2617434
2156,489.5132184
2157,493.7138705
2158,497.8895068
2159,502.0443297
2160,506.1140169
2161,510.2041977
2162,514.2828926
2163,518.3670724
2164,522.5264666
2165,526.708351
2166,530.9180702
2167,535.1209872
2168,539.3151488
2169,543.4495221
2170,547.4919959
2171,551.563348
2172,555.65571
2173,559.6782964
2174,563.7565387
2175,567.908987
2176,572.0330063
2177,576.199949
2178,580.3426868
2179,584.438685
2180,588.493596
2181,592.498155
2182,596.4977324
2183,600.5227126
2184,604.4704555
2185,608.4324378
2186,612.489215
2187,616.5387945
2188,620.5789814
2189,624.7239404
2190,628.7488331
2191,632.6868895
2192,636.5931454
2193,640.4890332
2194,644.3904715
2195,648.2881156
2196,652.1426634
2197,656.0635481
2198,660.0046965
2199,663.9642902
2200,667.9476411
2201,671.9008652
2202,675.7263079
2203,679.5303275
2204,683.3226275
2205,687.1051032
2206,690.8339113
2207,694.6084431
2208,698.387195
2209,702.2464021
2210,706.1169333
2211,709.9542704
2212,713.7202561
2213,717.5172868
2214,721.2330307
2215,724.8578398
2216,728.5080177
2217,732.1266282
2218,735.7288288
2219,739.4048416
2220,743.1069181
2221,746.8158576
2222,750.560068
2223,754.1658341
2224,757.829003
2225,761.4031751
2226,764.9297148
2227,768.4343893
2228,771.9332287
2229,775.4186784
2230,778.9247176
2231,782.5111877
2232,786.0822118
2233,789.6226691
2234,793.1752473
2235,796.6335602
2236,800.0588877
2237,803.419522
2238,806.7739277
2239,810.1210971
2240,813.4699965
2241,816.8129559
2242,820.2108641
2243,823.6512815
2244,827.083101
2245,830.4116259
2246,833.7587512
2247,837.0143154
2248,840.1982314
2249,843.3588989
2250,846.6069143
2251,849.8650609
2252,853.0316036
2253,856.2512032
2254,859.4397183
2255,862.6543307
2256,865.7981656
2257,868.9570086
2258,872.0736424
2259,875.2381905
2260,878.2814504
2261,881.3680042
2262,884.4272697
2263,887.488279
2264,890.5609474
2265,893.6295388
2266,896.6566802
2267,899.6513524
2268,902.6581302
2269,905.6307698
2270,908.5992189
2271,911.565397
2272,914.552154
2273,917.4688835
2274,920.4597309
2275,923.442394
2276,926.3441748
2277,929.2351115
2278,932.1634386
2279,935.0697615
2280,937.9635896
2281,940.8559852
2282,943.7187058
2283,946.5933446
2284,949.437707
2285,952.2490115
2286,955.1069673
2287,957.9517478
2288,960.7761133
2289,963.6150579
2290,966.3954887
2291,969.1697365
2292,971.9443946
2293,974.7357253
2294,977.4985526
2295,980.2593975
2296,983.0239103
2297,985.7300059
2298,988.4505601
2299,991.1865038
2300,993.909009
